as_of,system,location,employees,inmates,inmate deaths
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,Adult Diagnostic and Treatment Center,15,1,0
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,Bayside State Prison,0,0,0
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,Central Office Headquarters,3,0,0
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,Central Reception and Assignment Facility,20,0,0
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,Correctional Staff Training Academy,4,0,0
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,Custody Recruitment Unit,3,0,0
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,East Jersey State Prison,31,6,2
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,Edna Mahan Correctional Facility for Women,51,7,0
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,Garden State Youth Correctional Facility,12,1,0
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,Mid-State Correctional Facility,21,5,0
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,Mountainview Youth Correctional Facility,13,0,0
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,New Jersey State Prison,14,7,2
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,Northern State Prison,59,15,1
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,South Woods State Prison,2,2,0
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,Southern State Correctional Facility,17,4,0
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,STU,1,2,0
2020-04-15 20:03:05 EST,PRISONS AND ANCILLARY LOCATIONS,Totals,266,50,5
2020-04-15 20:03:05 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Bo Robinson Assessment and Treatment,NA,0,0
2020-04-15 20:03:05 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Clinton House,NA,0,0
2020-04-15 20:03:05 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Columbus House,NA,0,0
2020-04-15 20:03:05 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,"CURA, Inc.",NA,0,0
2020-04-15 20:03:05 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fenwick House,NA,0,0
2020-04-15 20:03:05 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fletcher House,NA,1,0
2020-04-15 20:03:05 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Garrett House,NA,0,0
2020-04-15 20:03:05 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Hope Hall,NA,0,0
2020-04-15 20:03:05 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,James A. Hemm House,NA,0,0
2020-04-15 20:03:05 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 1,NA,0,0
2020-04-15 20:03:05 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 2,NA,0,0
2020-04-15 20:03:05 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Newark,NA,1,0
2020-04-15 20:03:05 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,The Harbor House,NA,3,0
2020-04-15 20:03:05 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Tully House,NA,0,0
2020-04-15 20:03:05 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Totals,NA,5,0
