as_of,system,location,employees,inmates,inmate_deaths
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,Adult Diagnostic and Treatment Center,39,12,2
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,Bayside State Prison,3,3,0
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,Central Office Headquarters,11,0,0
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,Central Reception and Assignment Facility,41,13,0
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,Correctional Staff Training Academy,2,0,0
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,Custody Recruitment Unit,2,0,0
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,East Jersey State Prison,72,20,9
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,Edna Mahan Correctional Facility for Women,76,9,1
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,Garden State Youth Correctional Facility,22,2,0
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,Mid-State Correctional Facility,48,9,1
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,Mountainview Youth Correctional Facility,29,0,0
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,New Jersey State Prison,47,21,4
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,Northern State Prison,117,45,6
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,South Woods State Prison,9,21,4
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,Southern State Correctional Facility,59,14,0
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,STU,1,15,8
2020-05-05T01:28:55Z,PRISONS AND ANCILLARY LOCATIONS,Totals,578,184,35
2020-05-05T01:28:55Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Bo Robinson Assessment and Treatment,NA,4,1
2020-05-05T01:28:55Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Clinton House,NA,0,0
2020-05-05T01:28:55Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Columbus House,NA,0,0
2020-05-05T01:28:55Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,"CURA, Inc.",NA,0,0
2020-05-05T01:28:55Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fenwick House,NA,0,0
2020-05-05T01:28:55Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fletcher House,NA,1,0
2020-05-05T01:28:55Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Garrett House,NA,0,0
2020-05-05T01:28:55Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Hope Hall,NA,1,0
2020-05-05T01:28:55Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,James A. Hemm House,NA,0,0
2020-05-05T01:28:55Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 1,NA,0,0
2020-05-05T01:28:55Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 2,NA,0,0
2020-05-05T01:28:55Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Newark,NA,1,0
2020-05-05T01:28:55Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,The Harbor House,NA,3,0
2020-05-05T01:28:55Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Tully House,NA,0,0
2020-05-05T01:28:55Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Totals,NA,10,1
