as_of,system,location,employees,inmates,inmate_deaths
2020-05-28T01:17:01Z,PRISONS AND ANCILLARY LOCATIONS,Adult Diagnostic and Treatment Center,75,230,14
2020-05-28T01:17:01Z,PRISONS AND ANCILLARY LOCATIONS,Bayside State Prison,4,71,0
2020-05-28T01:17:01Z,PRISONS AND ANCILLARY LOCATIONS,Central Office Headquarters,16,0,0
2020-05-28T01:17:01Z,PRISONS AND ANCILLARY LOCATIONS,Central Reception and Assignment Facility,55,119,1
2020-05-28T01:17:01Z,PRISONS AND ANCILLARY LOCATIONS,Correctional Staff Training Academy,2,0,0
2020-05-28T01:17:01Z,PRISONS AND ANCILLARY LOCATIONS,Custody Recruitment Unit,2,0,0
2020-05-28T01:17:01Z,PRISONS AND ANCILLARY LOCATIONS,East Jersey State Prison,93,116,8
2020-05-28T01:17:01Z,PRISONS AND ANCILLARY LOCATIONS,Edna Mahan Correctional Facility for Women,77,87,2
2020-05-28T01:17:01Z,PRISONS AND ANCILLARY LOCATIONS,Garden State Youth Correctional Facility,36,146,0
2020-05-28T01:17:01Z,PRISONS AND ANCILLARY LOCATIONS,Mid-State Correctional Facility,60,69,1
2020-05-28T01:17:01Z,PRISONS AND ANCILLARY LOCATIONS,Mountainview Youth Correctional Facility,29,187,0
2020-05-28T01:17:01Z,PRISONS AND ANCILLARY LOCATIONS,New Jersey State Prison,56,106,4
2020-05-28T01:17:01Z,PRISONS AND ANCILLARY LOCATIONS,Northern State Prison,142,96,8
2020-05-28T01:17:01Z,PRISONS AND ANCILLARY LOCATIONS,South Woods State Prison,17,240,4
2020-05-28T01:17:01Z,PRISONS AND ANCILLARY LOCATIONS,Southern State Correctional Facility,79,106,0
2020-05-28T01:17:01Z,PRISONS AND ANCILLARY LOCATIONS,Totals,743,1573,42
2020-05-28T01:17:01Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Bo Robinson Assessment and Treatment,NA,7,1
2020-05-28T01:17:01Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Clinton House,NA,0,0
2020-05-28T01:17:01Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Columbus House,NA,0,0
2020-05-28T01:17:01Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,"CURA, Inc.",NA,0,0
2020-05-28T01:17:01Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fenwick House,NA,0,0
2020-05-28T01:17:01Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fletcher House,NA,1,0
2020-05-28T01:17:01Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Garrett House,NA,0,0
2020-05-28T01:17:01Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Hope Hall,NA,1,0
2020-05-28T01:17:01Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,James A. Hemm House,NA,2,0
2020-05-28T01:17:01Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 1,NA,0,0
2020-05-28T01:17:01Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 2,NA,0,0
2020-05-28T01:17:01Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Newark,NA,3,0
2020-05-28T01:17:01Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,The Harbor House,NA,4,0
2020-05-28T01:17:01Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Tully House,NA,1,0
2020-05-28T01:17:01Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Totals,NA,19,1
