as_of,system,location,employees,inmates,inmate_deaths
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,Adult Diagnostic and Treatment Center,31,7,2
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,Bayside State Prison,1,2,0
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,Central Office Headquarters,10,0,0
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,Central Reception and Assignment Facility,32,2,0
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,Correctional Staff Training Academy,2,0,0
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,Custody Recruitment Unit,2,0,0
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,East Jersey State Prison,64,17,8
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,Edna Mahan Correctional Facility for Women,65,9,0
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,Garden State Youth Correctional Facility,19,1,0
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,Mid-State Correctional Facility,42,9,1
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,Mountainview Youth Correctional Facility,23,0,0
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,New Jersey State Prison,43,16,4
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,Northern State Prison,112,41,6
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,South Woods State Prison,6,7,1
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,Southern State Correctional Facility,42,12,0
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,STU,1,13,7
2020-04-28T02:48:03Z,PRISONS AND ANCILLARY LOCATIONS,Totals,495,136,29
2020-04-28T02:48:03Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Bo Robinson Assessment and Treatment,NA,4,0
2020-04-28T02:48:03Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Clinton House,NA,0,0
2020-04-28T02:48:03Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Columbus House,NA,0,0
2020-04-28T02:48:03Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,"CURA, Inc.",NA,0,0
2020-04-28T02:48:03Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fenwick House,NA,0,0
2020-04-28T02:48:03Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fletcher House,NA,1,0
2020-04-28T02:48:03Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Garrett House,NA,0,0
2020-04-28T02:48:03Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Hope Hall,NA,0,0
2020-04-28T02:48:03Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,James A. Hemm House,NA,0,0
2020-04-28T02:48:03Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 1,NA,0,0
2020-04-28T02:48:03Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 2,NA,0,0
2020-04-28T02:48:03Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Newark,NA,1,0
2020-04-28T02:48:03Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,The Harbor House,NA,3,0
2020-04-28T02:48:03Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Tully House,NA,0,0
2020-04-28T02:48:03Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Totals,NA,9,0
