as_of,system,location,employees,inmates,inmate_deaths
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,Adult Diagnostic and Treatment Center,39,9,2
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,Bayside State Prison,2,3,0
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,Central Office Headquarters,11,0,0
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,Central Reception and Assignment Facility,41,3,0
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,Correctional Staff Training Academy,2,0,0
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,Custody Recruitment Unit,2,0,0
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,East Jersey State Prison,69,17,8
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,Edna Mahan Correctional Facility for Women,69,9,1
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,Garden State Youth Correctional Facility,22,2,0
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,Mid-State Correctional Facility,45,9,1
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,Mountainview Youth Correctional Facility,26,0,0
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,New Jersey State Prison,44,21,4
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,Northern State Prison,117,45,6
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,South Woods State Prison,8,20,1
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,Southern State Correctional Facility,51,14,0
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,STU,1,13,7
2020-05-02T01:56:33Z,PRISONS AND ANCILLARY LOCATIONS,Totals,549,165,30
2020-05-02T01:56:33Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Bo Robinson Assessment and Treatment,NA,4,0
2020-05-02T01:56:33Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Clinton House,NA,0,0
2020-05-02T01:56:33Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Columbus House,NA,0,0
2020-05-02T01:56:33Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,"CURA, Inc.",NA,0,0
2020-05-02T01:56:33Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fenwick House,NA,0,0
2020-05-02T01:56:33Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fletcher House,NA,1,0
2020-05-02T01:56:33Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Garrett House,NA,0,0
2020-05-02T01:56:33Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Hope Hall,NA,1,0
2020-05-02T01:56:33Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,James A. Hemm House,NA,0,0
2020-05-02T01:56:33Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 1,NA,0,0
2020-05-02T01:56:33Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 2,NA,0,0
2020-05-02T01:56:33Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Newark,NA,1,0
2020-05-02T01:56:33Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,The Harbor House,NA,3,0
2020-05-02T01:56:33Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Tully House,NA,0,0
2020-05-02T01:56:33Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Totals,NA,10,0
